,sound_index,subject_index,naturalness,sound_filename,snr,sound_background,sound_foreground,model
135,146,8,1,snrN10_noiseSpeakerShapedNoise_fg365.wav,-10,noiseSpeakerShapedNoise,fg365,wavenet_waveform
136,148,1,1,snrN10_noiseSpeakerShapedNoise_fg405.wav,-10,noiseSpeakerShapedNoise,fg405,wavenet_waveform
137,148,21,1,snrN10_noiseSpeakerShapedNoise_fg405.wav,-10,noiseSpeakerShapedNoise,fg405,wavenet_waveform
138,149,2,2,snrN10_noiseSpeakerShapedNoise_fg428.wav,-10,noiseSpeakerShapedNoise,fg428,wavenet_waveform
139,154,29,1,snrN10_noiseSpeakerShapedNoise_fg522.wav,-10,noiseSpeakerShapedNoise,fg522,wavenet_waveform
140,155,0,1,snrN10_noiseSpeakerShapedNoise_fg537.wav,-10,noiseSpeakerShapedNoise,fg537,wavenet_waveform
141,155,30,1,snrN10_noiseSpeakerShapedNoise_fg537.wav,-10,noiseSpeakerShapedNoise,fg537,wavenet_waveform
142,157,10,1,snrN10_noiseSpeakerShapedNoise_fg619.wav,-10,noiseSpeakerShapedNoise,fg619,wavenet_waveform
143,158,32,1,snrN10_noiseSpeakerShapedNoise_fg671.wav,-10,noiseSpeakerShapedNoise,fg671,wavenet_waveform
144,160,0,1,snrN5_noiseAudScene_fg000.wav,-5,noiseAudScene,fg000,wavenet_waveform
145,163,26,3,snrN5_noiseAudScene_fg025.wav,-5,noiseAudScene,fg025,wavenet_waveform
146,165,8,2,snrN5_noiseAudScene_fg037.wav,-5,noiseAudScene,fg037,wavenet_waveform
147,166,4,5,snrN5_noiseAudScene_fg045.wav,-5,noiseAudScene,fg045,wavenet_waveform
148,166,17,4,snrN5_noiseAudScene_fg045.wav,-5,noiseAudScene,fg045,wavenet_waveform
149,166,24,6,snrN5_noiseAudScene_fg045.wav,-5,noiseAudScene,fg045,wavenet_waveform
150,167,19,6,snrN5_noiseAudScene_fg046.wav,-5,noiseAudScene,fg046,wavenet_waveform
151,168,9,4,snrN5_noiseAudScene_fg063.wav,-5,noiseAudScene,fg063,wavenet_waveform
152,169,5,3,snrN5_noiseAudScene_fg072.wav,-5,noiseAudScene,fg072,wavenet_waveform
153,169,12,1,snrN5_noiseAudScene_fg072.wav,-5,noiseAudScene,fg072,wavenet_waveform
154,169,13,2,snrN5_noiseAudScene_fg072.wav,-5,noiseAudScene,fg072,wavenet_waveform
155,171,2,3,snrN5_noiseAudScene_fg080.wav,-5,noiseAudScene,fg080,wavenet_waveform
156,172,18,2,snrN5_noiseAudScene_fg099.wav,-5,noiseAudScene,fg099,wavenet_waveform
157,172,35,2,snrN5_noiseAudScene_fg099.wav,-5,noiseAudScene,fg099,wavenet_waveform
158,174,23,4,snrN5_noiseAudScene_fg147.wav,-5,noiseAudScene,fg147,wavenet_waveform
159,176,11,1,snrN5_noiseAudScene_fg170.wav,-5,noiseAudScene,fg170,wavenet_waveform
160,177,25,2,snrN5_noiseAudScene_fg220.wav,-5,noiseAudScene,fg220,wavenet_waveform
